customer_id,txn_date,txn_type,txn_amount
465,1/28/2020,deposit,955
230,1/21/2020,deposit,675
487,1/15/2020,deposit,39
346,1/21/2020,deposit,916
356,1/11/2020,deposit,568
142,1/16/2020,deposit,517
81,1/25/2020,deposit,403
128,1/26/2020,deposit,410
205,1/2/2020,deposit,608
380,1/3/2020,deposit,487
387,1/22/2020,deposit,180
95,1/3/2020,deposit,19
388,1/9/2020,deposit,833
91,1/11/2020,deposit,856
144,1/14/2020,deposit,559
68,1/20/2020,deposit,574
475,1/3/2020,deposit,552
247,1/1/2020,deposit,930
120,1/23/2020,deposit,824
500,1/16/2020,deposit,227
384,1/12/2020,deposit,352
311,1/17/2020,deposit,918
287,1/22/2020,deposit,658
112,1/8/2020,deposit,945
284,1/30/2020,deposit,257
67,1/22/2020,deposit,79
70,1/8/2020,deposit,786
236,1/27/2020,deposit,356
234,1/3/2020,deposit,236
420,1/24/2020,deposit,151
430,1/20/2020,deposit,829
330,1/26/2020,deposit,540
162,1/10/2020,deposit,123
394,1/4/2020,deposit,854
217,1/8/2020,deposit,783
5,1/15/2020,deposit,974
382,1/3/2020,deposit,140
137,1/6/2020,deposit,881
327,1/14/2020,deposit,299
412,1/1/2020,deposit,381
257,1/20/2020,deposit,493
416,1/16/2020,deposit,756
320,1/10/2020,deposit,725
109,1/1/2020,deposit,429
348,1/22/2020,deposit,26
375,1/19/2020,deposit,647
344,1/7/2020,deposit,816
261,1/25/2020,deposit,746
166,1/22/2020,deposit,957
367,1/29/2020,deposit,239
352,1/21/2020,deposit,416
108,1/30/2020,deposit,530
481,1/2/2020,deposit,42
331,1/17/2020,deposit,951
133,1/10/2020,deposit,279
293,1/15/2020,deposit,541
172,1/12/2020,deposit,548
215,1/27/2020,deposit,822
218,1/29/2020,deposit,208
20,1/18/2020,deposit,868
365,1/25/2020,deposit,595
98,1/15/2020,deposit,622
354,1/23/2020,deposit,822
10,1/13/2020,deposit,556
61,1/21/2020,deposit,319
160,1/17/2020,deposit,843
161,1/8/2020,deposit,526
147,1/15/2020,deposit,767
301,1/20/2020,deposit,32
14,1/25/2020,deposit,205
288,1/13/2020,deposit,586
219,1/6/2020,deposit,419
308,1/14/2020,deposit,782
418,1/7/2020,deposit,688
167,1/30/2020,deposit,51
350,1/13/2020,deposit,167
225,1/10/2020,deposit,280
187,1/26/2020,deposit,599
396,1/1/2020,deposit,334
304,1/16/2020,deposit,848
343,1/1/2020,deposit,859
62,1/16/2020,deposit,218
364,1/10/2020,deposit,563
207,1/26/2020,deposit,322
223,1/11/2020,deposit,431
73,1/6/2020,deposit,442
299,1/13/2020,deposit,881
16,1/13/2020,deposit,421
212,1/2/2020,deposit,336
381,1/28/2020,deposit,66
390,1/15/2020,deposit,102
165,1/23/2020,deposit,42
442,1/26/2020,deposit,553
332,1/27/2020,deposit,594
264,1/16/2020,deposit,41
64,1/8/2020,deposit,442
428,1/15/2020,deposit,280
227,1/7/2020,deposit,468
116,1/28/2020,deposit,167
134,1/8/2020,deposit,358
192,1/20/2020,deposit,906
452,1/1/2020,deposit,441
436,1/5/2020,deposit,401
176,1/26/2020,deposit,655
408,1/21/2020,deposit,514
490,1/23/2020,deposit,271
111,1/28/2020,deposit,101
372,1/2/2020,deposit,920
307,1/14/2020,deposit,363
363,1/6/2020,deposit,622
22,1/19/2020,deposit,794
171,1/17/2020,deposit,471
19,1/17/2020,deposit,47
289,1/28/2020,deposit,838
419,1/11/2020,deposit,711
154,1/15/2020,deposit,120
156,1/24/2020,deposit,82
75,1/22/2020,deposit,234
191,1/16/2020,deposit,769
71,1/14/2020,deposit,128
263,1/16/2020,deposit,312
462,1/26/2020,deposit,614
405,1/4/2020,deposit,413
37,1/29/2020,deposit,946
342,1/25/2020,deposit,347
371,1/21/2020,deposit,528
173,1/14/2020,deposit,720
9,1/21/2020,deposit,669
302,1/27/2020,deposit,143
403,1/13/2020,deposit,232
110,1/1/2020,deposit,888
492,1/5/2020,deposit,812
477,1/4/2020,deposit,101
337,1/12/2020,deposit,581
345,1/1/2020,deposit,555
131,1/10/2020,deposit,932
58,1/11/2020,deposit,726
99,1/8/2020,deposit,160
488,1/8/2020,deposit,304
286,1/2/2020,deposit,177
240,1/10/2020,deposit,872
326,1/12/2020,deposit,478
359,1/9/2020,deposit,10
72,1/20/2020,deposit,796
3,1/27/2020,deposit,144
178,1/23/2020,deposit,76
146,1/5/2020,deposit,657
385,1/15/2020,deposit,585
193,1/12/2020,deposit,689
279,1/13/2020,deposit,98
272,1/11/2020,deposit,706
87,1/13/2020,deposit,777
244,1/27/2020,deposit,728
23,1/21/2020,deposit,334
278,1/26/2020,deposit,682
484,1/28/2020,deposit,871
368,1/17/2020,deposit,100
158,1/18/2020,deposit,642
148,1/12/2020,deposit,88
118,1/3/2020,deposit,683
221,1/6/2020,deposit,147
126,1/21/2020,deposit,120
245,1/30/2020,deposit,76
180,1/9/2020,deposit,670
258,1/25/2020,deposit,590
157,1/6/2020,deposit,721
417,1/4/2020,deposit,213
184,1/27/2020,deposit,472
282,1/24/2020,deposit,74
415,1/7/2020,deposit,152
195,1/19/2020,deposit,489
298,1/16/2020,deposit,36
411,1/27/2020,deposit,551
66,1/16/2020,deposit,917
25,1/28/2020,deposit,174
323,1/21/2020,deposit,603
270,1/16/2020,deposit,294
319,1/6/2020,deposit,83
226,1/11/2020,deposit,854
468,1/25/2020,deposit,939
439,1/26/2020,deposit,430
202,1/6/2020,deposit,446
250,1/25/2020,deposit,625
447,1/3/2020,deposit,188
271,1/8/2020,deposit,318
353,1/1/2020,deposit,57
409,1/22/2020,deposit,155
432,1/26/2020,deposit,637
40,1/21/2020,deposit,857
268,1/11/2020,deposit,744
85,1/11/2020,deposit,467
401,1/3/2020,deposit,956
470,1/8/2020,deposit,942
242,1/20/2020,deposit,256
295,1/26/2020,deposit,636
303,1/18/2020,deposit,433
478,1/8/2020,deposit,351
2,1/3/2020,deposit,549
280,1/3/2020,deposit,273
277,1/27/2020,deposit,615
434,1/14/2020,deposit,686
389,1/4/2020,deposit,632
256,1/26/2020,deposit,811
216,1/4/2020,deposit,140
159,1/4/2020,deposit,669
310,1/20/2020,deposit,331
495,1/17/2020,deposit,433
483,1/18/2020,deposit,481
318,1/6/2020,deposit,720
314,1/26/2020,deposit,448
285,1/22/2020,deposit,360
453,1/25/2020,deposit,638
424,1/12/2020,deposit,995
210,1/19/2020,deposit,708
105,1/7/2020,deposit,313
177,1/20/2020,deposit,351
313,1/29/2020,deposit,710
65,1/26/2020,deposit,690
124,1/1/2020,deposit,159
426,1/15/2020,deposit,282
413,1/26/2020,deposit,927
386,1/26/2020,deposit,854
464,1/17/2020,deposit,953
33,1/24/2020,deposit,473
113,1/21/2020,deposit,14
94,1/1/2020,deposit,902
197,1/22/2020,deposit,203
164,1/10/2020,deposit,548
300,1/21/2020,deposit,672
467,1/19/2020,deposit,738
7,1/20/2020,deposit,964
231,1/20/2020,deposit,122
497,1/30/2020,deposit,754
211,1/19/2020,deposit,485
47,1/22/2020,deposit,203
321,1/24/2020,deposit,243
83,1/9/2020,deposit,942
4,1/7/2020,deposit,458
469,1/17/2020,deposit,297
329,1/7/2020,deposit,723
76,1/4/2020,deposit,641
325,1/27/2020,deposit,60
35,1/17/2020,deposit,936
80,1/25/2020,deposit,795
290,1/15/2020,deposit,788
181,1/13/2020,deposit,865
333,1/8/2020,deposit,537
400,1/24/2020,deposit,691
149,1/13/2020,deposit,831
11,1/19/2020,deposit,60
243,1/1/2020,deposit,247
347,1/4/2020,deposit,626
86,1/3/2020,deposit,12
237,1/16/2020,deposit,106
229,1/23/2020,deposit,180
209,1/23/2020,deposit,160
404,1/2/2020,deposit,724
220,1/21/2020,deposit,307
114,1/19/2020,deposit,743
476,1/27/2020,deposit,392
273,1/19/2020,deposit,876
259,1/4/2020,deposit,744
140,1/26/2020,deposit,138
208,1/19/2020,deposit,537
355,1/21/2020,deposit,367
78,1/28/2020,deposit,986
232,1/2/2020,deposit,843
260,1/26/2020,deposit,899
246,1/29/2020,deposit,506
24,1/26/2020,deposit,615
15,1/25/2020,deposit,379
486,1/11/2020,deposit,412
340,1/6/2020,deposit,56
44,1/19/2020,deposit,71
471,1/13/2020,deposit,781
459,1/13/2020,deposit,857
274,1/2/2020,deposit,801
103,1/7/2020,deposit,646
101,1/12/2020,deposit,136
335,1/14/2020,deposit,663
461,1/1/2020,deposit,788
34,1/30/2020,deposit,976
281,1/6/2020,deposit,616
391,1/15/2020,deposit,219
45,1/14/2020,deposit,650
49,1/4/2020,deposit,432
473,1/17/2020,deposit,657
448,1/30/2020,deposit,759
106,1/24/2020,deposit,456
57,1/6/2020,deposit,907
151,1/10/2020,deposit,58
239,1/18/2020,deposit,771
253,1/29/2020,deposit,976
163,1/14/2020,deposit,523
399,1/13/2020,deposit,780
358,1/15/2020,deposit,129
31,1/6/2020,deposit,83
423,1/18/2020,deposit,164
433,1/15/2020,deposit,142
170,1/14/2020,deposit,788
414,1/8/2020,deposit,445
322,1/5/2020,deposit,965
186,1/17/2020,deposit,968
421,1/9/2020,deposit,205
90,1/19/2020,deposit,890
379,1/12/2020,deposit,451
362,1/28/2020,deposit,416
395,1/14/2020,deposit,40
482,1/1/2020,deposit,674
463,1/21/2020,deposit,881
13,1/2/2020,deposit,566
42,1/11/2020,deposit,154
204,1/28/2020,deposit,749
190,1/26/2020,deposit,14
228,1/10/2020,deposit,294
241,1/1/2020,deposit,161
28,1/20/2020,deposit,451
336,1/16/2020,deposit,543
12,1/13/2020,deposit,202
125,1/4/2020,deposit,637
360,1/16/2020,deposit,385
370,1/13/2020,deposit,363
88,1/12/2020,deposit,672
446,1/15/2020,deposit,412
18,1/17/2020,deposit,757
139,1/10/2020,deposit,653
127,1/17/2020,deposit,217
450,1/11/2020,deposit,890
196,1/13/2020,deposit,734
54,1/9/2020,deposit,138
456,1/7/2020,deposit,753
174,1/11/2020,deposit,163
51,1/20/2020,deposit,367
479,1/23/2020,deposit,320
437,1/5/2020,deposit,935
175,1/14/2020,deposit,300
200,1/29/2020,deposit,997
201,1/2/2020,deposit,646
29,1/19/2020,deposit,217
132,1/10/2020,deposit,14
213,1/17/2020,deposit,421
79,1/29/2020,deposit,521
306,1/27/2020,deposit,402
8,1/15/2020,deposit,207
294,1/12/2020,deposit,307
485,1/3/2020,deposit,524
427,1/22/2020,deposit,588
222,1/11/2020,deposit,311
377,1/18/2020,deposit,637
97,1/4/2020,deposit,681
283,1/5/2020,deposit,947
440,1/3/2020,deposit,45
449,1/6/2020,deposit,352
251,1/9/2020,deposit,961
435,1/1/2020,deposit,627
84,1/23/2020,deposit,968
498,1/19/2020,deposit,774
38,1/21/2020,deposit,367
107,1/13/2020,deposit,538
183,1/22/2020,deposit,101
397,1/6/2020,deposit,973
102,1/26/2020,deposit,917
182,1/8/2020,deposit,97
141,1/15/2020,deposit,934
494,1/20/2020,deposit,529
252,1/26/2020,deposit,982
297,1/25/2020,deposit,469
431,1/11/2020,deposit,101
324,1/4/2020,deposit,538
6,1/11/2020,deposit,831
262,1/4/2020,deposit,83
341,1/26/2020,deposit,345
121,1/1/2020,deposit,335
27,1/1/2020,deposit,809
248,1/24/2020,deposit,304
489,1/15/2020,deposit,556
445,1/25/2020,deposit,836
145,1/2/2020,deposit,365
43,1/28/2020,deposit,318
82,1/9/2020,deposit,363
315,1/22/2020,deposit,384
444,1/10/2020,deposit,669
48,1/1/2020,deposit,427
425,1/9/2020,deposit,308
422,1/25/2020,deposit,356
493,1/15/2020,deposit,845
457,1/23/2020,deposit,657
179,1/5/2020,deposit,19
41,1/30/2020,deposit,790
39,1/22/2020,deposit,996
235,1/7/2020,deposit,723
203,1/6/2020,deposit,970
119,1/17/2020,deposit,62
233,1/3/2020,deposit,187
451,1/30/2020,deposit,910
392,1/29/2020,deposit,876
491,1/8/2020,deposit,18
393,1/17/2020,deposit,118
115,1/29/2020,deposit,144
150,1/4/2020,deposit,69
275,1/28/2020,deposit,211
438,1/1/2020,deposit,261
153,1/18/2020,deposit,754
316,1/23/2020,deposit,184
349,1/17/2020,deposit,573
77,1/8/2020,deposit,120
474,1/2/2020,deposit,928
224,1/21/2020,deposit,487
214,1/14/2020,deposit,325
254,1/5/2020,deposit,856
189,1/11/2020,deposit,304
429,3/2/2020,deposit,256
429,3/2/2020,withdrawal,611
429,2/14/2020,purchase,128
429,2/19/2020,deposit,831
429,2/25/2020,purchase,312
429,3/2/2020,purchase,164
429,4/4/2020,withdrawal,855
155,4/4/2020,purchase,501
155,1/29/2020,purchase,631
155,3/19/2020,deposit,630
155,3/28/2020,deposit,494
155,3/16/2020,withdrawal,627
155,2/20/2020,purchase,751
155,2/15/2020,withdrawal,804
155,3/29/2020,deposit,890
155,3/19/2020,deposit,117
155,3/31/2020,withdrawal,100
155,3/30/2020,withdrawal,595
155,1/24/2020,purchase,717
155,3/7/2020,withdrawal,751
155,2/29/2020,purchase,899
155,1/19/2020,purchase,360
155,3/29/2020,withdrawal,494
155,4/5/2020,withdrawal,652
155,2/4/2020,purchase,295
155,2/15/2020,deposit,804
398,1/31/2020,deposit,823
398,3/24/2020,deposit,635
398,1/10/2020,purchase,951
398,1/16/2020,withdrawal,195
398,2/16/2020,withdrawal,232
398,3/24/2020,deposit,874
398,1/14/2020,withdrawal,255
398,2/27/2020,purchase,874
398,3/21/2020,purchase,201
398,3/14/2020,withdrawal,817
398,3/10/2020,withdrawal,678
398,2/14/2020,purchase,902
398,2/13/2020,purchase,546
398,3/22/2020,purchase,916
398,1/23/2020,deposit,523
398,2/20/2020,purchase,150
398,1/27/2020,purchase,570
398,2/2/2020,purchase,38
398,3/9/2020,deposit,873
255,2/27/2020,deposit,355
255,2/16/2020,purchase,479
255,1/31/2020,purchase,310
255,3/28/2020,purchase,782
255,3/10/2020,deposit,105
185,3/27/2020,withdrawal,642
185,2/14/2020,withdrawal,640
185,2/27/2020,purchase,447
185,3/8/2020,purchase,401
185,4/8/2020,withdrawal,224
185,4/22/2020,deposit,884
185,3/30/2020,purchase,738
185,4/12/2020,deposit,466
185,4/12/2020,deposit,825
185,3/21/2020,deposit,791
185,4/15/2020,withdrawal,917
185,4/7/2020,purchase,366
185,4/8/2020,purchase,521
185,2/4/2020,purchase,193
185,4/24/2020,deposit,848
185,2/1/2020,deposit,786
185,2/10/2020,withdrawal,143
185,4/20/2020,purchase,499
309,4/9/2020,deposit,740
309,4/9/2020,deposit,301
309,2/9/2020,deposit,822
309,2/2/2020,purchase,898
309,2/8/2020,purchase,341
309,1/13/2020,purchase,532
309,2/17/2020,purchase,812
309,1/27/2020,withdrawal,308
309,4/5/2020,withdrawal,37
309,3/20/2020,deposit,663
309,2/15/2020,purchase,69
309,4/4/2020,purchase,151
309,3/25/2020,purchase,649
309,2/19/2020,deposit,96
309,1/25/2020,purchase,518
309,3/18/2020,deposit,577
309,2/22/2020,withdrawal,839
312,3/15/2020,withdrawal,994
312,3/28/2020,deposit,67
312,2/25/2020,deposit,470
312,2/5/2020,purchase,942
312,4/1/2020,withdrawal,602
312,4/15/2020,withdrawal,651
312,2/26/2020,deposit,643
312,3/13/2020,purchase,794
376,3/31/2020,deposit,980
376,3/6/2020,purchase,595
376,2/27/2020,deposit,25
376,3/6/2020,withdrawal,381
376,3/27/2020,deposit,815
376,1/21/2020,deposit,518
376,1/3/2020,withdrawal,77
376,2/12/2020,deposit,950
376,1/13/2020,deposit,628
376,2/21/2020,deposit,892
376,1/9/2020,purchase,554
376,1/20/2020,purchase,7
376,3/12/2020,withdrawal,374
376,2/21/2020,deposit,44
376,3/18/2020,deposit,427
376,2/6/2020,withdrawal,996
376,2/29/2020,withdrawal,916
376,1/31/2020,deposit,400
376,3/12/2020,withdrawal,325
376,2/11/2020,deposit,902
188,2/24/2020,deposit,699
188,4/7/2020,purchase,54
188,1/31/2020,withdrawal,72
188,2/15/2020,deposit,459
188,3/30/2020,purchase,491
188,3/10/2020,deposit,587
188,1/29/2020,deposit,259
188,3/29/2020,withdrawal,314
188,2/20/2020,withdrawal,770
188,2/11/2020,deposit,809
188,3/6/2020,withdrawal,743
188,1/22/2020,withdrawal,340
188,1/27/2020,withdrawal,632
188,4/2/2020,purchase,473
138,2/1/2020,deposit,819
138,1/23/2020,deposit,758
138,3/20/2020,withdrawal,129
138,3/22/2020,purchase,750
138,2/5/2020,purchase,485
138,2/13/2020,deposit,42
138,2/24/2020,withdrawal,958
138,4/6/2020,purchase,850
138,2/7/2020,deposit,604
138,3/24/2020,deposit,619
138,3/29/2020,deposit,15
138,2/29/2020,purchase,64
138,1/31/2020,deposit,38
138,2/3/2020,withdrawal,954
373,1/21/2020,purchase,103
373,4/8/2020,deposit,755
373,4/12/2020,purchase,875
373,3/26/2020,deposit,780
373,4/3/2020,deposit,514
373,2/15/2020,purchase,216
361,2/21/2020,deposit,323
361,2/12/2020,deposit,109
361,1/12/2020,withdrawal,457
169,3/15/2020,withdrawal,3
169,1/25/2020,purchase,985
169,1/29/2020,deposit,657
169,3/9/2020,deposit,737
169,2/28/2020,withdrawal,439
169,1/14/2020,withdrawal,601
169,3/16/2020,deposit,529
169,4/8/2020,deposit,897
169,2/6/2020,deposit,176
169,3/22/2020,purchase,64
169,2/19/2020,withdrawal,417
169,2/26/2020,deposit,59
169,1/19/2020,purchase,268
402,3/17/2020,purchase,803
402,2/10/2020,deposit,166
402,2/18/2020,purchase,45
402,1/13/2020,withdrawal,127
402,1/19/2020,deposit,805
402,1/31/2020,deposit,365
60,3/2/2020,deposit,188
60,2/1/2020,deposit,857
60,3/31/2020,withdrawal,927
60,1/26/2020,deposit,113
60,1/30/2020,purchase,797
60,3/16/2020,withdrawal,674
60,4/2/2020,withdrawal,424
378,3/21/2020,deposit,353
378,3/12/2020,purchase,690
378,2/11/2020,deposit,936
378,2/14/2020,withdrawal,623
378,1/26/2020,purchase,186
378,2/5/2020,deposit,392
378,1/30/2020,deposit,108
378,1/27/2020,deposit,369
378,2/26/2020,deposit,145
378,3/4/2020,withdrawal,497
378,2/26/2020,deposit,428
378,2/27/2020,deposit,662
383,3/28/2020,withdrawal,725
383,4/3/2020,deposit,239
383,4/24/2020,withdrawal,141
383,4/23/2020,withdrawal,419
383,1/29/2020,withdrawal,925
383,4/16/2020,deposit,944
383,4/19/2020,deposit,907
383,2/25/2020,deposit,365
383,3/1/2020,purchase,827
383,2/1/2020,deposit,606
292,3/14/2020,deposit,503
292,1/28/2020,withdrawal,218
292,1/15/2020,withdrawal,909
292,3/23/2020,withdrawal,690
292,1/26/2020,purchase,760
292,2/23/2020,purchase,46
292,2/13/2020,withdrawal,999
292,2/27/2020,withdrawal,143
292,1/19/2020,purchase,44
292,3/2/2020,withdrawal,270
292,1/13/2020,withdrawal,289
292,3/7/2020,deposit,343
292,1/30/2020,purchase,401
292,1/19/2020,withdrawal,973
63,3/6/2020,withdrawal,151
63,2/23/2020,withdrawal,396
63,3/12/2020,purchase,618
63,3/31/2020,purchase,565
63,2/11/2020,deposit,363
63,1/25/2020,purchase,225
63,2/24/2020,withdrawal,156
63,1/16/2020,purchase,88
63,3/10/2020,withdrawal,932
63,2/8/2020,purchase,432
63,1/10/2020,purchase,253
63,3/23/2020,withdrawal,727
499,2/20/2020,deposit,891
499,3/4/2020,purchase,367
499,2/17/2020,withdrawal,228
499,2/11/2020,purchase,416
499,1/20/2020,withdrawal,699
499,1/4/2020,deposit,849
499,1/15/2020,purchase,71
499,1/18/2020,deposit,150
499,1/31/2020,deposit,254
499,3/17/2020,withdrawal,297
499,1/12/2020,withdrawal,934
499,3/15/2020,purchase,627
499,3/12/2020,deposit,754
499,3/1/2020,purchase,279
499,2/20/2020,deposit,547
499,2/10/2020,deposit,925
130,3/27/2020,deposit,864
130,1/19/2020,deposit,196
130,2/15/2020,purchase,353
130,3/13/2020,deposit,753
130,2/5/2020,withdrawal,488
130,3/1/2020,purchase,971
130,1/7/2020,withdrawal,106
130,3/4/2020,deposit,646
130,1/11/2020,withdrawal,895
130,2/5/2020,withdrawal,71
441,2/17/2020,withdrawal,195
441,4/2/2020,purchase,8
441,4/10/2020,purchase,206
441,2/24/2020,purchase,190
441,3/20/2020,purchase,917
441,3/6/2020,withdrawal,229
441,1/18/2020,withdrawal,540
441,3/24/2020,deposit,856
441,1/13/2020,withdrawal,207
441,4/4/2020,deposit,392
441,2/6/2020,deposit,363
441,4/4/2020,purchase,520
441,3/25/2020,withdrawal,535
441,3/24/2020,deposit,8
441,3/16/2020,purchase,634
441,2/3/2020,deposit,177
441,4/8/2020,withdrawal,24
441,3/18/2020,deposit,37
441,4/9/2020,deposit,237
441,2/5/2020,deposit,919
53,4/20/2020,purchase,187
53,3/23/2020,withdrawal,881
53,4/20/2020,deposit,933
53,3/24/2020,deposit,228
53,3/21/2020,purchase,285
53,2/4/2020,deposit,188
53,4/22/2020,deposit,209
30,4/1/2020,deposit,392
30,2/28/2020,withdrawal,464
30,4/24/2020,deposit,547
305,2/16/2020,purchase,348
305,3/7/2020,deposit,773
305,1/17/2020,withdrawal,380
305,3/22/2020,withdrawal,613
305,1/11/2020,withdrawal,2
305,1/16/2020,deposit,366
305,3/7/2020,withdrawal,405
305,2/4/2020,deposit,517
136,3/26/2020,deposit,103
136,2/27/2020,deposit,487
136,3/11/2020,deposit,53
136,1/25/2020,withdrawal,653
136,4/9/2020,purchase,710
136,3/6/2020,withdrawal,116
136,1/12/2020,deposit,19
136,1/29/2020,withdrawal,224
136,3/24/2020,withdrawal,623
136,1/28/2020,deposit,455
136,4/2/2020,deposit,194
276,1/17/2020,deposit,600
276,3/8/2020,deposit,624
276,1/13/2020,purchase,922
276,2/21/2020,deposit,319
276,3/30/2020,purchase,976
276,1/9/2020,withdrawal,360
276,2/4/2020,deposit,559
276,1/13/2020,purchase,465
276,2/25/2020,withdrawal,601
276,3/1/2020,deposit,189
276,1/28/2020,purchase,578
276,2/8/2020,withdrawal,222
276,3/1/2020,purchase,985
276,1/10/2020,purchase,52
410,3/14/2020,withdrawal,666
410,3/28/2020,deposit,222
410,1/21/2020,deposit,595
410,1/8/2020,purchase,171
410,3/16/2020,deposit,135
410,3/9/2020,withdrawal,78
410,2/10/2020,withdrawal,723
410,2/7/2020,purchase,103
410,3/4/2020,deposit,136
152,3/20/2020,deposit,68
152,2/4/2020,deposit,706
152,2/22/2020,purchase,960
152,1/17/2020,deposit,264
152,1/16/2020,deposit,340
152,2/4/2020,deposit,696
152,2/9/2020,withdrawal,849
152,3/28/2020,deposit,14
152,2/15/2020,deposit,812
152,1/23/2020,deposit,310
152,2/13/2020,purchase,334
123,1/25/2020,withdrawal,310
123,1/26/2020,purchase,830
123,3/29/2020,deposit,727
123,4/3/2020,deposit,540
123,4/4/2020,withdrawal,362
123,4/7/2020,purchase,463
123,2/19/2020,withdrawal,960
123,3/7/2020,purchase,386
123,3/28/2020,deposit,352
123,4/5/2020,deposit,688
123,4/6/2020,purchase,947
123,2/9/2020,purchase,600
17,2/9/2020,withdrawal,915
17,2/28/2020,purchase,442
472,3/5/2020,deposit,78
472,4/6/2020,purchase,903
472,2/11/2020,purchase,666
472,4/7/2020,deposit,557
472,2/1/2020,purchase,347
472,4/1/2020,purchase,865
472,3/21/2020,withdrawal,513
472,4/1/2020,purchase,12
472,4/4/2020,deposit,405
472,1/19/2020,withdrawal,527
472,4/16/2020,purchase,449
472,1/29/2020,deposit,843
472,3/20/2020,deposit,182
472,4/7/2020,deposit,115
472,3/30/2020,deposit,537
472,2/27/2020,deposit,87
472,4/14/2020,deposit,920
472,3/8/2020,deposit,362
472,3/6/2020,withdrawal,499
472,4/8/2020,deposit,418
100,3/28/2020,purchase,938
100,3/30/2020,deposit,181
100,3/1/2020,deposit,780
100,2/5/2020,purchase,749
100,3/19/2020,purchase,854
100,3/3/2020,withdrawal,123
100,2/8/2020,purchase,829
100,1/14/2020,deposit,923
56,4/4/2020,withdrawal,302
56,4/12/2020,withdrawal,407
56,3/2/2020,withdrawal,523
56,3/30/2020,deposit,495
56,2/12/2020,purchase,213
56,2/1/2020,deposit,122
56,3/20/2020,deposit,218
56,4/2/2020,deposit,117
56,3/7/2020,deposit,224
56,2/17/2020,withdrawal,716
56,2/5/2020,purchase,735
56,4/8/2020,withdrawal,326
56,4/7/2020,purchase,873
56,1/29/2020,purchase,519
56,3/3/2020,purchase,744
56,2/14/2020,purchase,37
56,1/23/2020,withdrawal,412
56,3/13/2020,purchase,99
455,3/9/2020,withdrawal,887
455,3/25/2020,deposit,327
357,3/28/2020,withdrawal,382
357,2/5/2020,withdrawal,136
357,4/16/2020,withdrawal,684
357,2/27/2020,deposit,96
357,2/19/2020,deposit,138
480,4/21/2020,withdrawal,5
480,4/14/2020,purchase,478
480,3/22/2020,purchase,757
480,4/11/2020,deposit,553
168,2/24/2020,purchase,919
168,2/25/2020,purchase,183
168,2/3/2020,deposit,187
369,3/16/2020,purchase,516
369,3/12/2020,deposit,971
369,1/28/2020,withdrawal,110
369,3/4/2020,deposit,958
338,2/8/2020,deposit,859
338,1/17/2020,deposit,252
338,2/19/2020,deposit,529
